?Kód;Název ORP;Název Kraje (VÚSC)
19;Hlavní mìsto Praha;Hlavní mìsto Praha
434;Blatná;Jihoèeskı kraj
302;Èeské Budìjovice;Jihoèeskı kraj
329;Èeskı Krumlov;Jihoèeskı kraj
337;Daèice;Jihoèeskı kraj
345;Jindøichùv Hradec;Jihoèeskı kraj
311;Kaplice;Jihoèeskı kraj
396;Milevsko;Jihoèeskı kraj
400;Písek;Jihoèeskı kraj
418;Prachatice;Jihoèeskı kraj
469;Sobìslav;Jihoèeskı kraj
442;Strakonice;Jihoèeskı kraj
477;Tábor;Jihoèeskı kraj
281;Trhové Sviny;Jihoèeskı kraj
353;Tøeboò;Jihoèeskı kraj
299;Tın nad Vltavou;Jihoèeskı kraj
426;Vimperk;Jihoèeskı kraj
451;Vodòany;Jihoèeskı kraj
1295;Blansko;Jihomoravskı kraj
1309;Boskovice;Jihomoravskı kraj
1317;Brno;Jihomoravskı kraj
1384;Bøeclav;Jihomoravskı kraj
1627;Buèovice;Jihomoravskı kraj
1473;Hodonín;Jihomoravskı kraj
1392;Hustopeèe;Jihomoravskı kraj
1325;Ivanèice;Jihomoravskı kraj
1333;Kuøim;Jihomoravskı kraj
1481;Kyjov;Jihomoravskı kraj
1406;Mikulov;Jihomoravskı kraj
1651;Moravskı Krumlov;Jihomoravskı kraj
1414;Pohoøelice;Jihomoravskı kraj
1341;Rosice;Jihomoravskı kraj
1635;Slavkov u Brna;Jihomoravskı kraj
1368;Šlapanice;Jihomoravskı kraj
1350;Tišnov;Jihomoravskı kraj
1490;Veselí nad Moravou;Jihomoravskı kraj
1643;Vyškov;Jihomoravskı kraj
1660;Znojmo;Jihomoravskı kraj
1376;idlochovice;Jihomoravskı kraj
507;Aš;Karlovarskı kraj
515;Cheb;Karlovarskı kraj
531;Karlovy Vary;Karlovarskı kraj
663;Kraslice;Karlovarskı kraj
523;Mariánské Láznì;Karlovarskı kraj
540;Ostrov;Karlovarskı kraj
671;Sokolov;Karlovarskı kraj
1678;Bystøice nad Pernštejnem;Kraj Vysoèina
949;Havlíèkùv Brod;Kraj Vysoèina
361;Humpolec;Kraj Vysoèina
931;Chotìboø;Kraj Vysoèina
1503;Jihlava;Kraj Vysoèina
1571;Moravské Budìjovice;Kraj Vysoèina
1589;Námìš nad Oslavou;Kraj Vysoèina
1686;Nové Mìsto na Moravì;Kraj Vysoèina
370;Pacov;Kraj Vysoèina
388;Pelhøimov;Kraj Vysoèina
957;Svìtlá nad Sázavou;Kraj Vysoèina
1511;Telè;Kraj Vysoèina
1597;Tøebíè;Kraj Vysoèina
1694;Velké Meziøíèí;Kraj Vysoèina
1708;ïár nad Sázavou;Kraj Vysoèina
1031;Broumov;Královéhradeckı kraj
1104;Dobruška;Královéhradeckı kraj
1201;Dvùr Králové nad Labem;Královéhradeckı kraj
1007;Hoøice;Královéhradeckı kraj
965;Hradec Králové;Královéhradeckı kraj
1040;Jaromìø;Královéhradeckı kraj
1015;Jièín;Královéhradeckı kraj
1112;Kostelec nad Orlicí;Královéhradeckı kraj
1066;Náchod;Královéhradeckı kraj
1023;Nová Paka;Královéhradeckı kraj
1058;Nové Mìsto nad Metují;Královéhradeckı kraj
973;Novı Bydov;Královéhradeckı kraj
1121;Rychnov nad Knìnou;Královéhradeckı kraj
1210;Trutnov;Královéhradeckı kraj
1228;Vrchlabí;Královéhradeckı kraj
710;Èeská Lípa;Libereckı kraj
809;Frıdlant;Libereckı kraj
779;Jablonec nad Nisou;Libereckı kraj
1139;Jilemnice;Libereckı kraj
817;Liberec;Libereckı kraj
701;Novı Bor;Libereckı kraj
1147;Semily;Libereckı kraj
787;Tanvald;Libereckı kraj
1155;Turnov;Libereckı kraj
795;eleznı Brod;Libereckı kraj
1830;Bílovec;Moravskoslezskı kraj
1783;Bohumín;Moravskoslezskı kraj
1716;Bruntál;Moravskoslezskı kraj
1821;Èeskı Tìšín;Moravskoslezskı kraj
1848;Frenštát pod Radhoštìm;Moravskoslezskı kraj
1741;Frıdek-Místek;Moravskoslezskı kraj
1759;Frıdlant nad Ostravicí;Moravskoslezskı kraj
1791;Havíøov;Moravskoslezskı kraj
1929;Hluèín;Moravskoslezskı kraj
1767;Jablunkov;Moravskoslezskı kraj
1805;Karviná;Moravskoslezskı kraj
1856;Kopøivnice;Moravskoslezskı kraj
1937;Kravaøe;Moravskoslezskı kraj
1724;Krnov;Moravskoslezskı kraj
1864;Novı Jièín;Moravskoslezskı kraj
1872;Odry;Moravskoslezskı kraj
1945;Opava;Moravskoslezskı kraj
1813;Orlová;Moravskoslezskı kraj
1961;Ostrava;Moravskoslezskı kraj
1732;Rımaøov;Moravskoslezskı kraj
1775;Tøinec;Moravskoslezskı kraj
1953;Vítkov;Moravskoslezskı kraj
1970;Hranice;Olomouckı kraj
2062;Jeseník;Olomouckı kraj
1554;Konice;Olomouckı kraj
1988;Lipník nad Beèvou;Olomouckı kraj
1881;Litovel;Olomouckı kraj
2003;Mohelnice;Olomouckı kraj
1899;Olomouc;Olomouckı kraj
1562;Prostìjov;Olomouckı kraj
1996;Pøerov;Olomouckı kraj
1911;Šternberk;Olomouckı kraj
2020;Šumperk;Olomouckı kraj
1902;Unièov;Olomouckı kraj
2011;Zábøeh;Olomouckı kraj
1279;Èeská Tøebová;Pardubickı kraj
990;Hlinsko;Pardubickı kraj
1074;Holice;Pardubickı kraj
981;Chrudim;Pardubickı kraj
1236;Králíky;Pardubickı kraj
1244;Lanškroun;Pardubickı kraj
1163;Litomyšl;Pardubickı kraj
1171;Moravská Tøebová;Pardubickı kraj
1082;Pardubice;Pardubickı kraj
1180;Polièka;Pardubickı kraj
1091;Pøelouè;Pardubickı kraj
1198;Svitavy;Pardubickı kraj
1287;Ústí nad Orlicí;Pardubickı kraj
1252;Vysoké Mıto;Pardubickı kraj
1261;amberk;Pardubickı kraj
591;Blovice;Plzeòskı kraj
485;Domalice;Plzeòskı kraj
558;Horaïovice;Plzeòskı kraj
493;Horšovskı Tın;Plzeòskı kraj
566;Klatovy;Plzeòskı kraj
639;Kralovice;Plzeòskı kraj
604;Nepomuk;Plzeòskı kraj
647;Nıøany;Plzeòskı kraj
582;Plzeò;Plzeòskı kraj
612;Pøeštice;Plzeòskı kraj
655;Rokycany;Plzeòskı kraj
621;Stod;Plzeòskı kraj
680;Støíbro;Plzeòskı kraj
574;Sušice;Plzeòskı kraj
698;Tachov;Plzeòskı kraj
27;Benešov;Støedoèeskı kraj
51;Beroun;Støedoèeskı kraj
213;Brandıs nad Labem-Stará Boleslav;Støedoèeskı kraj
124;Èáslav;Støedoèeskı kraj
230;Èernošice;Støedoèeskı kraj
108;Èeskı Brod;Støedoèeskı kraj
248;Dobøíš;Støedoèeskı kraj
60;Hoøovice;Støedoèeskı kraj
78;Kladno;Støedoèeskı kraj
94;Kolín;Støedoèeskı kraj
132;Kralupy nad Vltavou;Støedoèeskı kraj
116;Kutná Hora;Støedoèeskı kraj
183;Lysá nad Labem;Støedoèeskı kraj
141;Mìlník;Støedoèeskı kraj
167;Mladá Boleslav;Støedoèeskı kraj
175;Mnichovo Hradištì;Støedoèeskı kraj
159;Neratovice;Støedoèeskı kraj
191;Nymburk;Støedoèeskı kraj
205;Podìbrady;Støedoèeskı kraj
256;Pøíbram;Støedoèeskı kraj
272;Rakovník;Støedoèeskı kraj
221;Øíèany;Støedoèeskı kraj
264;Sedlèany;Støedoèeskı kraj
86;Slanı;Støedoèeskı kraj
35;Vlašim;Støedoèeskı kraj
43;Votice;Støedoèeskı kraj
906;Bílina;Ústeckı kraj
728;Dìèín;Ústeckı kraj
752;Chomutov;Ústeckı kraj
761;Kadaò;Ústeckı kraj
825;Litomìøice;Ústeckı kraj
884;Litvínov;Ústeckı kraj
850;Louny;Ústeckı kraj
833;Lovosice;Ústeckı kraj
892;Most;Ústeckı kraj
868;Podboøany;Ústeckı kraj
841;Roudnice nad Labem;Ústeckı kraj
736;Rumburk;Ústeckı kraj
914;Teplice;Ústeckı kraj
922;Ústí nad Labem;Ústeckı kraj
744;Varnsdorf;Ústeckı kraj
876;atec;Ústeckı kraj
1520;Bystøice pod Hostınem;Zlínskı kraj
1538;Holešov;Zlínskı kraj
1546;Kromìøí;Zlínskı kraj
1422;Luhaèovice;Zlínskı kraj
1431;Otrokovice;Zlínskı kraj
2038;Ronov pod Radhoštìm;Zlínskı kraj
1601;Uherské Hradištì;Zlínskı kraj
1619;Uherskı Brod;Zlínskı kraj
1449;Valašské Klobouky;Zlínskı kraj
2046;Valašské Meziøíèí;Zlínskı kraj
1457;Vizovice;Zlínskı kraj
2054;Vsetín;Zlínskı kraj
1465;Zlín;Zlínskı kraj
